# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,adversarial_loss,batch_action_variance
66,1654127839.26476,105600,26.7669277191162,0.047073170542717,0.789084851741791,0.085573740303516,-0.047293018549681,0.00120625004638,0.000462730589788,0.001668980577961,0.011612581089139,0.230000004172325,13.8729648590088,9.52264308929443,2.54395437240601,3.15234375
67,1654127842.71517,107200,27.6378154754639,0.043035715818405,-0.068379566073418,0.091813445091248,-0.046993628144264,0.00112968753092,0.000585256959312,0.001714944490232,0.013939035125077,0.280000001192093,15.3560752868652,9.4745397567749,2.83075857162476,3.1318359375
68,1654127845.63673,108800,27.3133411407471,0.048837207257748,0.081379450857639,0.100876279175282,-0.046439398080111,0.001312499982305,0.000537755957339,0.001850255881436,0.013783586211503,0.27437499165535,14.8521699905396,9.50172328948975,2.82363200187683,3.4677734375
69,1654127848.88534,110400,27.5864181518555,0.066768288612366,0.775451362133026,0.09858562797308,-0.046448890119791,0.001710937474854,0.000576332444325,0.002287269802764,0.012452164664865,0.263125002384186,14.594747543335,9.46961498260498,2.6944682598114,3.37109375
70,1654127852.27498,112000,24.5021896362305,0.032857146114111,-0.838821709156036,0.041080180555582,-0.046419285237789,0.000862500048243,0.000501914531924,0.001364414580166,0.011222242377699,0.245000004768372,13.3427543640137,9.38228130340576,2.62131404876709,3.7255859375
71,1654127855.7522,113600,26.3478393554688,0.034451216459274,0.097807012498379,0.069553062319756,-0.046366430819035,0.000882812426426,0.000529821438249,0.001412633922882,0.011987342499197,0.248750001192093,14.2456903457642,9.36631298065186,2.61484050750732,2.40234375
72,1654127858.78366,115200,28.3605575561523,0.060119051486254,0.516010642051697,0.113894820213318,-0.045726496726275,0.001578125054948,0.000588943948969,0.002167069120333,0.014008751139045,0.271250009536743,15.7011165618896,9.35133171081543,2.72392964363098,2.8427734375
73,1654127861.94709,116800,24.9623394012451,0.053154762834311,-0.704869151115418,0.07176411151886,-0.046368841081858,0.001395312603563,0.000505456700921,0.001900769304484,0.010841456241906,0.228125005960464,13.7742652893066,9.35546684265137,2.51208090782166,4.296875
74,1654127864.95562,118400,24.2767238616943,0.021812502294779,-0.280419647693634,0.024844134226441,-0.046096120029688,0.000545312475879,0.000432935397839,0.000978247844614,0.009858306497335,0.223749995231628,12.8581390380859,9.29113674163818,2.42912077903748,2.5
75,1654127868.38343,120000,25.6653308868408,0.026829268783331,0.216772168874741,0.069439999759197,-0.046138446778059,0.000687499996275,0.000433124077972,0.001120624132454,0.009843412786722,0.229375004768372,13.5224294662476,9.41936588287354,2.48346209526062,3.3125
76,1654127871.70776,121600,23.9731426239014,0.026829268783331,-0.322496235370636,0.065261259675026,-0.046046495437622,0.000687499996275,0.000445345998742,0.001132845995016,0.010515250265598,0.238124996423721,12.3086843490601,9.33799743652344,2.62974405288696,2.2802734375
77,1654127874.58506,123200,25.3766975402832,0.04243902489543,-0.346332877874374,0.051528263837099,-0.045402128249407,0.001087500015274,0.000483540381538,0.001571040134877,0.010369006544352,0.244375005364418,13.9721031188965,9.18262767791748,2.56217288970947,3.1787109375
78,1654127877.55801,124800,24.7694473266602,0.027738094329834,0.596129596233368,0.054008584469557,-0.045560766011477,0.000728124985471,0.000446573278168,0.001174698234536,0.010204963386059,0.241874992847443,12.3524112701416,9.2129545211792,2.5995044708252,3.49609375
79,1654127880.57757,126400,26.2932014465332,0.054226189851761,0.915690124034882,0.11234400421381,-0.045837510377169,0.001423437613994,0.000456272886368,0.001879710238427,0.010850830003619,0.245625004172325,13.3416805267334,9.32336139678955,2.64596104621887,4
80,1654127883.95607,128000,24.0220146179199,0.036951221525669,-1.39900982379913,0.0943903028965,-0.045201867818832,0.00094687496312,0.000569844443817,0.001516719465144,0.011610798537731,0.261875003576279,13.4478855133057,9.24957370758057,2.67437648773193,3.15234375
81,1654127887.21277,129600,26.517858505249,0.078313954174519,0.7647824883461,0.126836523413658,-0.045347936451435,0.00210468750447,0.00049757794477,0.002602265449241,0.01115769892931,0.260625004768372,13.8580617904663,9.20326614379883,2.61025881767273,3.9990234375
82,1654127891.1585,131200,24.8888034820557,0.064476743340492,-0.561991214752197,0.110070362687111,-0.044392187148333,0.001732812495902,0.000543880451005,0.002276693005115,0.011756570078433,0.259375005960464,13.7808265686035,9.01195335388184,2.59233593940735,3.6162109375
83,1654127894.54353,132800,27.0113525390625,0.091860465705395,1.7251193523407,0.151614591479301,-0.045501008629799,0.002468749880791,0.000476467452245,0.002945217536762,0.01051171682775,0.251249998807907,13.4296979904175,9.14888668060303,2.6015362739563,3.99609375
84,1654127897.62476,134400,24.3799304962158,0.052732557058334,-0.586664021015167,0.100208677351475,-0.044628862291575,0.001417187508196,0.00048685449292,0.001904042088427,0.011484869755805,0.265625,12.9628124237061,9.22596263885498,2.72223854064941,3.359375
85,1654127900.97177,136000,25.4886722564697,0.042976193130016,-0.091654427349568,0.095733694732189,-0.045230787247419,0.001128124888055,0.000444372592028,0.001572497538291,0.01031229365617,0.245000004768372,13.5848445892334,9.33421993255615,2.61075735092163,3.3115234375
86,1654127905.12923,137600,22.202091217041,0.025499999523163,-1.11311876773834,0.035134818404913,-0.044906072318554,0.000637499964796,0.000373321585357,0.001010821666569,0.008777728304267,0.214375004172325,11.6996593475342,9.22057628631592,2.40474605560303,4.25
87,1654127908.83991,139200,26.0782146453857,0.067790694534779,0.449965566396713,0.077647373080254,-0.04464628174901,0.001821874990128,0.000465713266749,0.002287588315085,0.011352325789631,0.254375010728836,13.8800668716431,9.12956619262695,2.58561563491821,3.9833984375
